"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","key_press","rt_audio","designation","responded_to_audio","N","TYPE","TOTALHIT","TOTALFA","CURRENT_HIT","CURRENT_FA","STATUS","HIT","FA","expt_trajectory"
"audio-keyboard-response","270","1247089","0.0-1.0-1.7-1.247-0.247","null","letters/4.wav","","null","null","n-back-trial","0","2","NT","6","1","0","0","","","",""
"audio-keyboard-response","271","1249599","0.0-1.0-1.7-1.248-0.248","null","letters/7.wav","","null","null","n-back-trial","0","2","NT","6","1","0","0","","","",""
"audio-keyboard-response","272","1252119","0.0-1.0-1.7-1.249-0.249","null","letters/5.wav","","null","null","n-back-trial","0","2","NT","6","1","0","0","","","",""
"audio-keyboard-response","273","1254630","0.0-1.0-1.7-1.250-0.250","null","letters/2.wav","","null","null","n-back-trial","0","2","NT","6","1","0","0","","","",""
"audio-keyboard-response","274","1257139","0.0-1.0-1.7-1.251-0.251","null","letters/3.wav","","null","null","n-back-trial","0","2","NT","6","1","0","0","","","",""
"audio-keyboard-response","275","1259659","0.0-1.0-1.7-1.252-0.252","null","letters/5.wav","","null","null","n-back-trial","0","2","NT","6","1","0","0","","","",""
"audio-keyboard-response","276","1262180","0.0-1.0-1.7-1.253-0.253","null","letters/3.wav","","null","null","n-back-trial","0","2","T","6","1","0","0","","","",""
"audio-keyboard-response","277","1264700","0.0-1.0-1.7-1.254-0.254","651","letters/3.wav","","32","651","n-back-trial","1","2","NT","6","2","0","1","","","",""
"audio-keyboard-response","278","1267209","0.0-1.0-1.7-1.255-0.255","1240","letters/5.wav","","32","1240","n-back-trial","1","2","NT","6","3","0","1","","","",""
"audio-keyboard-response","279","1269730","0.0-1.0-1.7-1.256-0.256","null","letters/4.wav","","null","null","n-back-trial","0","2","NT","6","3","0","0","","","",""
"html-button-response","280","1271902","0.0-1.0-1.7-2.7","2169","<p>You may take a short break if you wish.</p><p>Click the button below when you are ready to continue.</p>","0","","","n-back-run-summary","","2","","","","","","0","6","3",""
"html-button-response","281","1272846","0.0-1.0-1.8-0.8","942","<p>You will now complete a <strong>2-back.</strong></p><p>Remember, this means that you should press SPACEBAR every time the sound you hear matches the one presented <strong>2</strong> position(s) previously.</p>","0","","","","","","","","","","","","","",""
"audio-keyboard-response","282","1275351","0.0-1.0-1.8-1.257-0.257","null","letters/2.wav","","null","null","n-back-trial","0","2","FIRSTS","0","0","0","0","","","",""
"audio-keyboard-response","283","1277871","0.0-1.0-1.8-1.258-0.258","null","letters/1.wav","","null","null","n-back-trial","0","2","FIRSTS","0","0","0","0","","","",""
"audio-keyboard-response","284","1280391","0.0-1.0-1.8-1.259-0.259","1232","letters/2.wav","","32","1232","n-back-trial","1","2","T","1","0","1","0","","","",""
"audio-keyboard-response","285","1282901","0.0-1.0-1.8-1.260-0.260","null","letters/6.wav","","null","null","n-back-trial","0","2","NT","1","0","0","0","","","",""
"audio-keyboard-response","286","1285421","0.0-1.0-1.8-1.261-0.261","1179","letters/2.wav","","32","1179","n-back-trial","1","2","T","2","0","1","0","","","",""
"audio-keyboard-response","287","1287941","0.0-1.0-1.8-1.262-0.262","null","letters/1.wav","","null","null","n-back-trial","0","2","NT","2","0","0","0","","","",""
"audio-keyboard-response","288","1290451","0.0-1.0-1.8-1.263-0.263","null","letters/2.wav","","null","null","n-back-trial","0","2","T","2","0","0","0","","","",""
"audio-keyboard-response","289","1292971","0.0-1.0-1.8-1.264-0.264","null","letters/8.wav","","null","null","n-back-trial","0","2","NT","2","0","0","0","","","",""
"audio-keyboard-response","290","1295482","0.0-1.0-1.8-1.265-0.265","null","letters/5.wav","","null","null","n-back-trial","0","2","NT","2","0","0","0","","","",""
"audio-keyboard-response","291","1298001","0.0-1.0-1.8-1.266-0.266","null","letters/7.wav","","null","null","n-back-trial","0","2","NT","2","0","0","0","","","",""
"audio-keyboard-response","292","1300519","0.0-1.0-1.8-1.267-0.267","2520","letters/5.wav","","32","2520","n-back-trial","1","2","T","3","0","1","0","","","",""
"audio-keyboard-response","293","1303022","0.0-1.0-1.8-1.268-0.268","null","letters/8.wav","","null","null","n-back-trial","0","2","NT","3","0","0","0","","","",""
"audio-keyboard-response","294","1305542","0.0-1.0-1.8-1.269-0.269","null","letters/6.wav","","null","null","n-back-trial","0","2","NT","3","0","0","0","","","",""
"audio-keyboard-response","295","1308052","0.0-1.0-1.8-1.270-0.270","989","letters/7.wav","","32","989","n-back-trial","1","2","NT","3","1","0","1","","","",""
"audio-keyboard-response","296","1310573","0.0-1.0-1.8-1.271-0.271","null","letters/7.wav","","null","null","n-back-trial","0","2","NT","3","1","0","0","","","",""
"audio-keyboard-response","297","1313083","0.0-1.0-1.8-1.272-0.272","null","letters/1.wav","","null","null","n-back-trial","0","2","NT","3","1","0","0","","","",""
"audio-keyboard-response","298","1315603","0.0-1.0-1.8-1.273-0.273","null","letters/3.wav","","null","null","n-back-trial","0","2","NT","3","1","0","0","","","",""
"audio-keyboard-response","299","1318108","0.0-1.0-1.8-1.274-0.274","1181","letters/1.wav","","32","1181","n-back-trial","1","2","T","4","1","1","0","","","",""
"audio-keyboard-response","300","1320613","0.0-1.0-1.8-1.275-0.275","null","letters/5.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","301","1323123","0.0-1.0-1.8-1.276-0.276","null","letters/1.wav","","null","null","n-back-trial","0","2","T","4","1","0","0","","","",""
"audio-keyboard-response","302","1325643","0.0-1.0-1.8-1.277-0.277","null","letters/1.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","303","1328154","0.0-1.0-1.8-1.278-0.278","null","letters/6.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","304","1330663","0.0-1.0-1.8-1.279-0.279","null","letters/4.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","305","1333183","0.0-1.0-1.8-1.280-0.280","null","letters/6.wav","","null","null","n-back-trial","0","2","T","4","1","0","0","","","",""
"audio-keyboard-response","306","1335694","0.0-1.0-1.8-1.281-0.281","null","letters/2.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","307","1338204","0.0-1.0-1.8-1.282-0.282","null","letters/6.wav","","null","null","n-back-trial","0","2","T","4","1","0","0","","","",""
"audio-keyboard-response","308","1340713","0.0-1.0-1.8-1.283-0.283","null","letters/4.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","309","1343224","0.0-1.0-1.8-1.284-0.284","null","letters/3.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","310","1345734","0.0-1.0-1.8-1.285-0.285","null","letters/4.wav","","null","null","n-back-trial","0","2","T","4","1","0","0","","","",""
"audio-keyboard-response","311","1348245","0.0-1.0-1.8-1.286-0.286","null","letters/6.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","312","1350765","0.0-1.0-1.8-1.287-0.287","941","letters/4.wav","","32","941","n-back-trial","1","2","T","5","1","1","0","","","",""
"audio-keyboard-response","313","1353285","0.0-1.0-1.8-1.288-0.288","null","letters/8.wav","","null","null","n-back-trial","0","2","NT","5","1","0","0","","","",""
"html-button-response","314","1355077","0.0-1.0-1.8-2.8","1791","<p>You may take a short break if you wish.</p><p>Click the button below when you are ready to continue.</p>","0","","","n-back-run-summary","","2","","","","","","0","5","1",""
"html-button-response","315","1355989","0.0-1.0-1.9-0.9","911","<p>You will now complete a <strong>2-back.</strong></p><p>Remember, this means that you should press SPACEBAR every time the sound you hear matches the one presented <strong>2</strong> position(s) previously.</p>","0","","","","","","","","","","","","","",""
"audio-keyboard-response","316","1358495","0.0-1.0-1.9-1.289-0.289","null","letters/7.wav","","null","null","n-back-trial","0","2","FIRSTS","0","0","0","0","","","",""
"audio-keyboard-response","317","1361015","0.0-1.0-1.9-1.290-0.290","null","letters/4.wav","","null","null","n-back-trial","0","2","FIRSTS","0","0","0","0","","","",""
"audio-keyboard-response","318","1363535","0.0-1.0-1.9-1.291-0.291","null","letters/6.wav","","null","null","n-back-trial","0","2","NT","0","0","0","0","","","",""
"audio-keyboard-response","319","1366045","0.0-1.0-1.9-1.292-0.292","null","letters/3.wav","","null","null","n-back-trial","0","2","NT","0","0","0","0","","","",""
"audio-keyboard-response","320","1368566","0.0-1.0-1.9-1.293-0.293","null","letters/6.wav","","null","null","n-back-trial","0","2","T","0","0","0","0","","","",""
"audio-keyboard-response","321","1371085","0.0-1.0-1.9-1.294-0.294","null","letters/3.wav","","null","null","n-back-trial","0","2","T","0","0","0","0","","","",""
"audio-keyboard-response","322","1373606","0.0-1.0-1.9-1.295-0.295","null","letters/5.wav","","null","null","n-back-trial","0","2","NT","0","0","0","0","","","",""
"audio-keyboard-response","323","1376126","0.0-1.0-1.9-1.296-0.296","null","letters/1.wav","","null","null","n-back-trial","0","2","NT","0","0","0","0","","","",""
"audio-keyboard-response","324","1378636","0.0-1.0-1.9-1.297-0.297","null","letters/8.wav","","null","null","n-back-trial","0","2","NT","0","0","0","0","","","",""
"audio-keyboard-response","325","1381156","0.0-1.0-1.9-1.298-0.298","null","letters/7.wav","","null","null","n-back-trial","0","2","NT","0","0","0","0","","","",""
"audio-keyboard-response","326","1383667","0.0-1.0-1.9-1.299-0.299","null","letters/3.wav","","null","null","n-back-trial","0","2","NT","0","0","0","0","","","",""
"audio-keyboard-response","327","1386186","0.0-1.0-1.9-1.300-0.300","null","letters/7.wav","","null","null","n-back-trial","0","2","T","0","0","0","0","","","",""
"audio-keyboard-response","328","1388697","0.0-1.0-1.9-1.301-0.301","null","letters/2.wav","","null","null","n-back-trial","0","2","NT","0","0","0","0","","","",""
"audio-keyboard-response","329","1391217","0.0-1.0-1.9-1.302-0.302","null","letters/7.wav","","null","null","n-back-trial","0","2","T","0","0","0","0","","","",""
"audio-keyboard-response","330","1393737","0.0-1.0-1.9-1.303-0.303","1160","letters/2.wav","","32","1160","n-back-trial","1","2","T","1","0","1","0","","","",""
"audio-keyboard-response","331","1396247","0.0-1.0-1.9-1.304-0.304","null","letters/5.wav","","null","null","n-back-trial","0","2","NT","1","0","0","0","","","",""
"audio-keyboard-response","332","1398764","0.0-1.0-1.9-1.305-0.305","1629","letters/2.wav","","32","1629","n-back-trial","1","2","T","2","0","1","0","","","",""
"audio-keyboard-response","333","1401288","0.0-1.0-1.9-1.306-0.306","null","letters/3.wav","","null","null","n-back-trial","0","2","NT","2","0","0","0","","","",""
"audio-keyboard-response","334","1403798","0.0-1.0-1.9-1.307-0.307","null","letters/7.wav","","null","null","n-back-trial","0","2","NT","2","0","0","0","","","",""
"audio-keyboard-response","335","1406318","0.0-1.0-1.9-1.308-0.308","2472","letters/8.wav","","32","2472","n-back-trial","1","2","NT","2","1","0","1","","","",""
"audio-keyboard-response","336","1408828","0.0-1.0-1.9-1.309-0.309","null","letters/1.wav","","null","null","n-back-trial","0","2","NT","2","1","0","0","","","",""
"audio-keyboard-response","337","1411348","0.0-1.0-1.9-1.310-0.310","null","letters/6.wav","","null","null","n-back-trial","0","2","NT","2","1","0","0","","","",""
"audio-keyboard-response","338","1413868","0.0-1.0-1.9-1.311-0.311","1648","letters/1.wav","","32","1648","n-back-trial","1","2","T","3","1","1","0","","","",""
"audio-keyboard-response","339","1416388","0.0-1.0-1.9-1.312-0.312","null","letters/5.wav","","null","null","n-back-trial","0","2","NT","3","1","0","0","","","",""
"audio-keyboard-response","340","1418909","0.0-1.0-1.9-1.313-0.313","1069","letters/1.wav","","32","1069","n-back-trial","1","2","T","4","1","1","0","","","",""
"audio-keyboard-response","341","1421418","0.0-1.0-1.9-1.314-0.314","null","letters/6.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","342","1423929","0.0-1.0-1.9-1.315-0.315","null","letters/5.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","343","1426439","0.0-1.0-1.9-1.316-0.316","null","letters/7.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","344","1428949","0.0-1.0-1.9-1.317-0.317","null","letters/2.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"audio-keyboard-response","345","1431469","0.0-1.0-1.9-1.318-0.318","null","letters/7.wav","","null","null","n-back-trial","0","2","T","4","1","0","0","","","",""
"audio-keyboard-response","346","1433979","0.0-1.0-1.9-1.319-0.319","null","letters/2.wav","","null","null","n-back-trial","0","2","T","4","1","0","0","","","",""
"audio-keyboard-response","347","1436499","0.0-1.0-1.9-1.320-0.320","null","letters/1.wav","","null","null","n-back-trial","0","2","NT","4","1","0","0","","","",""
"html-button-response","348","1437926","0.0-1.0-1.9-2.9","1425","<p>You may take a short break if you wish.</p><p>Click the button below when you are ready to continue.</p>","0","","","n-back-run-summary","","2","","","","","","0","4","1",""
"html-button-response","349","1439021","0.0-1.0-2.0","1095","<p>Thank you for your responses.</p><p>This concludes the auditory memory task.</p>","0","","","ANB-SUMMARY","","","","","","","","","","","1,2,3,2,2,2,3,2,2,2,2"
